user_id,signup_date,signup_timestamp,channel,device_os,app_version,ab_test_group,country
usr_000001,2026-07-31,2026-07-31 03:07:31,Meta Ads (Instagram),Android,v2.5.3,Variant_B,United States
usr_000002,2026-08-08,2026-08-08 05:15:30,Meta Ads (Instagram),Android,v2.5.1,Variant_B,United States
usr_000003,2026-08-13,2026-08-13 13:23:09,Meta Ads (Instagram),iOS,v2.5.3,Variant_B,United States
usr_000004,2026-08-04,2026-08-04 03:54:41,Paid Search (Google),Android,v2.5.1,Control_A,United Kingdom
usr_000005,2026-08-13,2026-08-13 00:32:48,Organic Search,Android,v2.5.1,Control_A,United States
usr_000006,2026-08-10,2026-08-10 15:06:14,Organic Search,Android,v2.5.2,Control_A,United States
usr_000007,2026-07-25,2026-07-25 12:03:25,Organic Search,iOS,v2.5.1,Control_A,India
usr_000008,2026-06-25,2026-06-25 01:43:04,Paid Search (Google),Android,v2.5.3,Control_A,United Kingdom
usr_000009,2026-07-15,2026-07-15 00:49:00,Meta Ads (Instagram),Android,v2.5.2,Control_A,Germany
usr_000010,2026-08-23,2026-08-23 11:22:36,Meta Ads (Instagram),Android,v2.5.1,Control_A,Canada
usr_000011,2026-07-18,2026-07-18 09:17:54,Paid Search (Google),iOS,v2.5.1,Variant_B,Germany
usr_000012,2026-06-30,2026-06-30 17:09:06,Paid Search (Google),Android,v2.5.3,Control_A,United States
usr_000013,2026-06-20,2026-06-20 14:30:59,Organic Search,iOS,v2.5.3,Control_A,United Kingdom
usr_000014,2026-08-29,2026-08-29 15:01:20,Influencer Campaign,Android,v2.5.1,Control_A,United States
usr_000015,2026-06-20,2026-06-20 14:25:05,Influencer Campaign,Android,v2.5.1,Control_A,India
usr_000016,2026-08-07,2026-08-07 19:00:02,Referral,iOS,v2.5.1,Variant_B,Germany
usr_000017,2026-06-26,2026-06-26 13:38:37,Meta Ads (Instagram),Android,v2.5.1,Control_A,India
usr_000018,2026-08-24,2026-08-24 23:46:08,Referral,Android,v2.5.1,Variant_B,United Kingdom
usr_000019,2026-08-04,2026-08-04 02:35:23,Referral,Android,v2.5.2,Variant_B,United Kingdom
usr_000020,2026-07-19,2026-07-19 22:48:07,Meta Ads (Instagram),Android,v2.5.1,Variant_B,Canada
usr_000021,2026-07-07,2026-07-07 14:24:07,Referral,Web,v3.1.0-web,Variant_B,United States
usr_000022,2026-07-01,2026-07-01 13:36:56,Referral,iOS,v2.5.1,Control_A,United Kingdom
usr_000023,2026-08-12,2026-08-12 05:53:39,Meta Ads (Instagram),Android,v2.5.1,Variant_B,Canada
usr_000024,2026-06-08,2026-06-08 10:48:52,Organic Search,Web,v3.1.0-web,Variant_B,United Kingdom
usr_000025,2026-08-20,2026-08-20 23:09:35,Meta Ads (Instagram),iOS,v2.5.2,Variant_B,United States
usr_000026,2026-08-12,2026-08-12 08:31:43,Meta Ads (Instagram),iOS,v2.5.3,Variant_B,United States
usr_000027,2026-08-24,2026-08-24 01:03:12,Meta Ads (Instagram),Android,v2.5.1,Control_A,Germany
usr_000028,2026-07-13,2026-07-13 08:27:45,Organic Search,Web,v3.1.0-web,Control_A,Germany
usr_000029,2026-06-29,2026-06-29 04:56:35,Organic Search,Android,v2.5.3,Control_A,United Kingdom
usr_000030,2026-08-19,2026-08-19 07:55:52,Referral,Android,v2.5.1,Variant_B,United States
usr_000031,2026-08-20,2026-08-20 09:40:39,Influencer Campaign,Android,v2.5.3,Variant_B,United States
usr_000032,2026-07-01,2026-07-01 15:02:41,Paid Search (Google),Android,v2.5.2,Control_A,Canada
usr_000033,2026-07-28,2026-07-28 14:19:39,Meta Ads (Instagram),Android,v2.5.3,Control_A,Germany
usr_000034,2026-07-02,2026-07-02 00:34:21,Meta Ads (Instagram),Android,v2.5.2,Control_A,Germany
usr_000035,2026-06-17,2026-06-17 15:11:38,Organic Search,iOS,v2.5.2,Variant_B,United Kingdom
usr_000036,2026-07-09,2026-07-09 04:47:33,Paid Search (Google),iOS,v2.5.2,Variant_B,Germany
usr_000037,2026-08-02,2026-08-02 05:18:32,Referral,iOS,v2.5.1,Variant_B,Canada
usr_000038,2026-07-11,2026-07-11 23:30:51,Meta Ads (Instagram),Android,v2.5.2,Control_A,United Kingdom
usr_000039,2026-07-07,2026-07-07 00:57:27,Meta Ads (Instagram),iOS,v2.5.3,Control_A,United States
usr_000040,2026-06-17,2026-06-17 19:27:54,Influencer Campaign,iOS,v2.5.1,Variant_B,Germany
usr_000041,2026-07-28,2026-07-28 15:50:30,Meta Ads (Instagram),Android,v2.5.1,Variant_B,Canada
usr_000042,2026-08-22,2026-08-22 13:09:22,Meta Ads (Instagram),Android,v2.5.1,Control_A,Canada
usr_000043,2026-06-02,2026-06-02 05:54:49,Referral,Android,v2.5.2,Control_A,Canada
usr_000044,2026-06-26,2026-06-26 13:03:00,Organic Search,Android,v2.5.2,Variant_B,United Kingdom
usr_000045,2026-08-04,2026-08-04 21:40:53,Paid Search (Google),Android,v2.5.3,Variant_B,Germany
usr_000046,2026-08-24,2026-08-24 19:39:05,Organic Search,Web,v3.1.0-web,Variant_B,United States
usr_000047,2026-08-04,2026-08-04 23:48:48,Paid Search (Google),Web,v3.1.0-web,Control_A,India
usr_000048,2026-08-13,2026-08-13 08:34:55,Referral,Android,v2.5.3,Control_A,Germany
usr_000049,2026-07-06,2026-07-06 02:58:07,Referral,iOS,v2.5.3,Control_A,United Kingdom
usr_000050,2026-07-30,2026-07-30 07:07:11,Organic Search,Android,v2.5.1,Control_A,India
usr_000051,2026-07-21,2026-07-21 23:42:16,Influencer Campaign,iOS,v2.5.2,Variant_B,United States
usr_000052,2026-06-26,2026-06-26 21:55:52,Influencer Campaign,Android,v2.5.1,Control_A,Germany
usr_000053,2026-08-18,2026-08-18 01:49:27,Referral,iOS,v2.5.3,Control_A,Germany
usr_000054,2026-06-13,2026-06-13 14:36:27,Organic Search,Android,v2.5.3,Control_A,India
usr_000055,2026-06-13,2026-06-13 02:06:29,Paid Search (Google),Android,v2.5.2,Variant_B,United States
usr_000056,2026-07-27,2026-07-27 18:21:48,Influencer Campaign,Android,v2.5.1,Control_A,United Kingdom
usr_000057,2026-07-20,2026-07-20 02:08:55,Paid Search (Google),iOS,v2.5.2,Control_A,Germany
usr_000058,2026-07-09,2026-07-09 19:06:28,Meta Ads (Instagram),iOS,v2.5.3,Control_A,India
usr_000059,2026-08-04,2026-08-04 09:32:28,Influencer Campaign,Android,v2.5.2,Control_A,United Kingdom
usr_000060,2026-07-18,2026-07-18 07:39:16,Meta Ads (Instagram),iOS,v2.5.1,Control_A,United States
usr_000061,2026-06-21,2026-06-21 05:43:21,Referral,Android,v2.5.2,Control_A,Germany
usr_000062,2026-06-04,2026-06-04 03:34:40,Referral,iOS,v2.5.1,Variant_B,Germany
usr_000063,2026-08-18,2026-08-18 01:07:59,Meta Ads (Instagram),Android,v2.5.1,Control_A,United States
usr_000064,2026-06-23,2026-06-23 03:38:37,Paid Search (Google),Android,v2.5.2,Variant_B,Germany
usr_000065,2026-07-22,2026-07-22 08:29:30,Meta Ads (Instagram),Web,v3.1.0-web,Control_A,United Kingdom
usr_000066,2026-06-10,2026-06-10 21:51:27,Referral,Android,v2.5.2,Variant_B,United States
usr_000067,2026-06-05,2026-06-05 01:14:55,Organic Search,Android,v2.5.3,Variant_B,United States
usr_000068,2026-08-19,2026-08-19 05:24:43,Paid Search (Google),Android,v2.5.1,Variant_B,United Kingdom
usr_000069,2026-06-19,2026-06-19 09:21:02,Meta Ads (Instagram),iOS,v2.5.3,Control_A,India
usr_000070,2026-06-21,2026-06-21 16:26:55,Meta Ads (Instagram),Android,v2.5.1,Control_A,United Kingdom
usr_000071,2026-07-14,2026-07-14 23:57:15,Organic Search,iOS,v2.5.3,Control_A,United States
usr_000072,2026-06-16,2026-06-16 09:24:41,Meta Ads (Instagram),iOS,v2.5.3,Control_A,United States
usr_000073,2026-08-13,2026-08-13 00:52:32,Meta Ads (Instagram),iOS,v2.5.3,Variant_B,United States
usr_000074,2026-08-06,2026-08-06 23:10:22,Paid Search (Google),Android,v2.5.3,Variant_B,United States
usr_000075,2026-07-17,2026-07-17 22:44:44,Meta Ads (Instagram),Android,v2.5.2,Variant_B,Canada
usr_000076,2026-08-25,2026-08-25 12:22:37,Meta Ads (Instagram),iOS,v2.5.3,Control_A,United States
usr_000077,2026-07-24,2026-07-24 22:45:22,Paid Search (Google),Android,v2.5.2,Control_A,United States
usr_000078,2026-08-21,2026-08-21 19:54:57,Influencer Campaign,iOS,v2.5.3,Control_A,United Kingdom
usr_000079,2026-07-09,2026-07-09 01:48:45,Referral,iOS,v2.5.3,Variant_B,United States
usr_000080,2026-08-13,2026-08-13 02:47:32,Paid Search (Google),Android,v2.5.2,Control_A,Canada
